image,method,porosity,components
img3.tif,otsu,0.4065381331696263,352
img3.tif,yen,0.5895662770238197,90
img3.tif,triangle,0.3062698867972633,6
img3.tif,sauvola,0.869163743925983,75
img3.tif,niblack,0.6335428313599593,184
img3.tif,fixed_48,0.9212816196931499,51
img3.tif,fixed_64,0.8675233190257419,89
img3.tif,fixed_80,0.7931645188506291,163
img3.tif,fixed_96,0.7046633438837143,257
img3.tif,fixed_112,0.6202502318903297,177
img3.tif,fixed_128,0.561636701236357,113
img3.tif,fixed_144,0.46159426488668825,294
img3.tif,fixed_160,0.3532081796483318,244
img3.tif,fixed_176,0.32082446447171775,51
img3.tif,fixed_192,0.3117381794638259,8
img79.tif,otsu,0.444077319700027,154
img79.tif,yen,0.7488082598245182,212
img79.tif,triangle,0.3030108422357415,25
img79.tif,sauvola,0.8687028985871883,74
img79.tif,niblack,0.633571345903215,182
img79.tif,fixed_48,0.9033120061323041,60
img79.tif,fixed_64,0.8438120086482932,129
img79.tif,fixed_80,0.7610883833428103,229
img79.tif,fixed_96,0.6484058273662459,304
img79.tif,fixed_112,0.5548252897161461,200
img79.tif,fixed_128,0.4981501190062849,122
img79.tif,fixed_144,0.43522732800279107,173
img79.tif,fixed_160,0.3642244379699658,186
img79.tif,fixed_176,0.32257999587377784,52
img79.tif,fixed_192,0.3090745856585266,12
img89.tif,otsu,0.7728569224085732,25
img89.tif,yen,0.7612447939991982,21
img89.tif,triangle,0.7612447939991982,21
img89.tif,sauvola,0.9431115992129986,26
img89.tif,niblack,0.6037417790055805,242
img89.tif,fixed_48,0.9417504491040563,28
img89.tif,fixed_64,0.8817808003193629,93
img89.tif,fixed_80,0.833882238291006,31
img89.tif,fixed_96,0.7866250438201436,28
img89.tif,fixed_112,0.7146291767515897,42
img89.tif,fixed_128,0.5184935682931697,263
img89.tif,fixed_144,0.20414840477903745,560
img89.tif,fixed_160,0.06180359518070672,193
img89.tif,fixed_176,0.04311818271783853,26
img89.tif,fixed_192,0.031184427033799797,22
